Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
14119,L126A-VE,Led Verde - Pasta Transparente ,true,instock,no,44,product-variant,10211
14120,S302PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12283
14121,S302AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12283
14122,S302AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12283
14123,S302BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12283
14124,S302MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12283
14125,S302PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12283
14126,S302-R,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12283
14127,S302VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12283
14137,S304PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12280
14138,S304AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12280
14139,S304AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12280
14140,S304BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12280
14141,S304MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12280
14142,S304PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12280
14143,S304RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12280
14144,S304VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12280
14145,S305PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12279
14146,S305AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12279
14147,S305AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12279
14148,S305BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12279
14149,S305MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12279
14150,S305PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12279
14151,S305RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12279
14152,S305VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12279
14153,S306PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12282
14154,S306AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12282
14155,S306AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12282
14156,S306BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12282
14157,S306MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12282
14158,S306PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12282
14159,S306RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12282
14160,S306VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12282
14161,S307PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12278
14162,S307AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12278
14163,S307AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12278
14164,S307BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12278
14165,S307MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12278
14166,S307PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12278
14167,S307R,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12278
14168,S307VE,Led Verde - Pasta Transparente ,true,outofstock,no,,product-variant,12278
14169,S308PA,Led Amarillo - Pasta Amarilla Aro en plástico ,true,outofstock,no,,product-variant,12277
14170,S308AM,Led Amarillo - Pasta Transparente Aro en plástico ,true,outofstock,no,,product-variant,12277
14171,S308AZ,Led Azul - Pasta Transparente Aro en plástico ,true,outofstock,no,,product-variant,12277
14172,S308BL,Led Blanco - Pasta Transparente Aro en plástico ,true,outofstock,no,,product-variant,12277
14173,S308MO,Led Morado - Pasta Transparente Aro en plástico ,true,outofstock,no,,product-variant,12277
14174,S308PR,Led Rojo - Pasta Roja Aro en plástico ,true,outofstock,no,,product-variant,12277
14175,S308RJ,Led Rojo - Pasta Transparente Aro en plástico ,true,outofstock,no,,product-variant,12277
14176,S308VE,Led Verde - Pasta Transparente Aro en plástico ,true,outofstock,no,,product-variant,12277
14177,S310PA,Led Amarillo - Pasta Amarilla ,true,outofstock,no,,product-variant,12276
14178,S310AM,Led Amarillo - Pasta Transparente ,true,outofstock,no,,product-variant,12276
14179,S310AZ,Led Azul - Pasta Transparente ,true,outofstock,no,,product-variant,12276
14180,S310BL,Led Blanco - Pasta Transparente ,true,outofstock,no,,product-variant,12276
14181,S310MO,Led Morado - Pasta Transparente ,true,outofstock,no,,product-variant,12276
14182,S310PR,Led Rojo - Pasta Roja ,true,outofstock,no,,product-variant,12276
14183,S310RJ,Led Rojo - Pasta Transparente ,true,outofstock,no,,product-variant,12276
